Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%_2,Matches
1,Alisson,br BRA,GK,Criciúma,28-344,1995,2,2,180,2.0,2,1.00,10,8,80.0,0,2,0,0,0.0,0,0,0,0,,Matches
2,Anderson,br BRA,GK,Cruzeiro,26-073,1998,5,5,450,5.0,7,1.40,18,12,61.1,3,1,1,1,20.0,0,0,0,0,,Matches
3,Lucas Arcanjo,br BRA,GK,Vitória,25-283,1998,5,5,450,5.0,11,2.20,31,20,64.5,0,1,4,0,0.0,0,0,0,0,,Matches
4,Bento,br BRA,GK,Ath Paranaense,24-342,1999,6,6,540,6.0,3,0.50,21,17,85.7,4,1,1,4,66.7,1,0,1,0,100.0,Matches
5,Rafael Cabral,br BRA,GK,Grêmio,33-363,1990,1,1,90,1.0,1,1.00,4,3,75.0,0,0,1,0,0.0,0,0,0,0,,Matches
6,Cássio,br BRA,GK,Corinthians,36-346,1987,3,3,270,3.0,3,1.00,14,11,78.6,0,1,2,1,33.3,0,0,0,0,,Matches
7,Éverson,br BRA,GK,Atlético Mineiro,33-300,1990,5,5,450,5.0,3,0.60,11,8,72.7,2,3,0,3,60.0,0,0,0,0,,Matches
8,Fábio,br BRA,GK,Fluminense,43-230,1980,6,6,540,6.0,12,2.00,40,28,70.0,1,2,3,0,0.0,0,0,0,0,,Matches
9,Marcos Felipe,br BRA,GK,Bahia,28-034,1996,6,6,540,6.0,6,1.00,32,26,81.3,4,1,1,2,33.3,0,0,0,0,,Matches
10,Gatito Fernández,py PAR,GK,Botafogo (RJ),36-049,1988,3,3,270,3.0,4,1.33,9,5,55.6,2,0,1,1,33.3,0,0,0,0,,Matches
11,Gabriel,br BRA,GK,Juventude,31-233,1992,4,4,360,4.0,7,1.75,17,10,64.7,1,2,1,1,25.0,1,1,0,0,0.0,Matches
12,Gustavo,br BRA,GK,Criciúma,31-068,1993,1,1,90,1.0,0,0.00,5,4,100.0,1,0,0,1,100.0,1,0,1,0,100.0,Matches
13,Léo Jardim,br BRA,GK,Vasco da Gama,29-058,1995,6,6,540,6.0,11,1.83,37,26,70.3,2,0,4,0,0.0,0,0,0,0,,Matches
14,John,br BRA,GK,Botafogo (RJ),28-094,1996,3,3,270,3.0,3,1.00,7,4,71.4,1,1,1,1,33.3,1,1,0,0,0.0,Matches
15,Lucão,br BRA,GK,Red Bull Bragantino,23-081,2001,2,1,135,1.5,2,1.33,9,7,77.8,1,0,0,0,0.0,0,0,0,0,,Matches
16,Agustín Marchesín,ar ARG,GK,Grêmio,36-062,1988,3,3,270,3.0,2,0.67,6,4,66.7,2,0,1,2,66.7,0,0,0,0,,Matches
17,Carlos Miguel,br BRA,GK,Corinthians,25-221,1998,3,3,270,3.0,2,0.67,13,11,84.6,1,1,1,2,66.7,0,0,0,0,,Matches
18,Rafael Pires,br BRA,GK,São Paulo,34-329,1989,6,6,540,6.0,6,1.00,15,10,60.0,3,1,2,2,33.3,0,0,0,0,,Matches
19,João Ricardo Riedi,br BRA,GK,Fortaleza,35-254,1988,5,5,450,5.0,4,0.80,27,23,85.2,1,4,0,1,20.0,0,0,0,0,,Matches
20,Sergio Rochet,uy URU,GK,Internacional,31-055,1993,4,4,360,4.0,3,0.75,12,9,75.0,2,1,1,1,25.0,0,0,0,0,,Matches
21,Ronaldo,br BRA,GK,Atl Goianiense,27-269,1996,5,5,450,5.0,8,1.60,21,13,71.4,0,1,4,0,0.0,2,2,0,0,0.0,Matches
22,Agustín Rossi,ar ARG,GK,Flamengo,28-270,1995,6,6,540,6.0,5,0.83,17,12,70.6,3,2,1,2,33.3,1,0,0,1,,Matches
23,Cleiton Schwengber,br BRA,GK,Red Bull Bragantino,26-272,1997,5,5,405,4.5,4,0.89,23,19,82.6,1,3,1,1,20.0,0,0,0,0,,Matches
24,Walter,br BRA,GK,Cuiabá,36-181,1987,4,4,360,4.0,10,2.50,24,14,66.7,0,0,4,0,0.0,2,2,0,0,0.0,Matches
25,Wéverton,br BRA,GK,Palmeiras,36-156,1987,6,6,540,6.0,3,0.50,18,16,83.3,2,2,2,4,66.7,1,0,0,1,,Matches
