Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Abner,br BRA,MF,Juventude,20-028,2004,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2,Luiz Adriano,br BRA,FW,Vitória,37-035,1987,0.8,0,2,1,50.0,2.37,1.18,0.00,0.00,10.9,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
3,Adson,br BRA,"FW,MF",Vasco da Gama,23-224,2000,1.2,0,4,3,75.0,3.46,2.60,0.00,0.00,20.6,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
4,Lucas Alario,ar ARG,"FW,MF",Internacional,31-222,1992,0.5,0,1,0,0.0,2.14,0.00,0.00,,7.0,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
5,Yuri Alberto,br BRA,FW,Corinthians,23-060,2001,2.4,0,10,2,20.0,4.23,0.85,0.00,0.00,15.9,0,0,0,0.8,0.8,0.08,-0.8,-0.8,Matches
6,Alerrandro,br BRA,FW,Vitória,24-126,2000,3.1,0,6,3,50.0,1.96,0.98,0.00,0.00,25.6,0,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches
7,Caio Alexandre,br BRA,MF,Bahia,25-083,1999,4.9,1,5,2,40.0,1.02,0.41,0.20,0.50,27.2,0,0,0,0.1,0.1,0.03,+0.9,+0.9,Matches
8,Matheus Alexandre,br BRA,DF,Cuiabá,25-040,1999,3.0,0,1,0,0.0,0.33,0.00,0.00,,14.3,0,0,0,0.1,0.1,0.12,-0.1,-0.1,Matches
9,Alexsander,br BRA,MF,Fluminense,20-222,2003,1.6,0,2,0,0.0,1.24,0.00,0.00,,16.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
10,Alisson,br BRA,GK,Criciúma,28-344,1995,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
11,Alisson,br BRA,"DF,MF",Atlético Mineiro,18-239,2005,1.4,0,4,1,25.0,2.95,0.74,0.00,0.00,20.6,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
12,Alisson,br BRA,MF,São Paulo,30-327,1993,5.7,0,5,3,60.0,0.87,0.52,0.00,0.00,24.9,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
13,Allan,br BRA,MF,Flamengo,27-075,1997,3.8,0,2,2,100.0,0.52,0.52,0.00,0.00,33.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
14,Anderson,br BRA,GK,Cruzeiro,26-073,1998,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
15,Kervin Andrade,ve VEN,MF,Fortaleza,19-034,2005,0.8,1,2,1,50.0,2.57,1.29,0.50,1.00,18.5,0,0,0,0.1,0.1,0.06,+0.9,+0.9,Matches
16,Rodrigo Andrade,br BRA,"MF,FW",Vitória,26-348,1997,2.6,0,1,0,0.0,0.39,0.00,0.00,,25.1,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches
17,André,br BRA,"MF,DF",Fluminense,22-306,2001,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
18,Wilker Ángel,ve VEN,DF,Criciúma,31-060,1993,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
19,Guilherme Arana,br BRA,DF,Atlético Mineiro,27-033,1997,4.1,1,5,3,60.0,1.21,0.73,0.20,0.33,24.3,0,0,0,0.1,0.1,0.03,+0.9,+0.9,Matches
20,Luiz Araújo,br BRA,"FW,MF",Flamengo,27-350,1996,4.0,1,11,2,18.2,2.75,0.50,0.09,0.50,18.6,0,0,0,0.6,0.6,0.05,+0.4,+0.4,Matches
21,Michel Araujo,uy URU,"DF,MF",São Paulo,27-232,1996,2.7,0,5,1,20.0,1.84,0.37,0.00,0.00,20.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
22,Robert Arboleda,ec ECU,DF,São Paulo,32-208,1991,6.0,1,4,3,75.0,0.67,0.50,0.25,0.33,11.4,0,0,0,0.5,0.5,0.12,+0.5,+0.5,Matches
23,Lucas Arcanjo,br BRA,GK,Vitória,25-283,1998,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
24,Jhon Arias,co COL,FW,Fluminense,26-239,1997,6.0,0,14,5,35.7,2.33,0.83,0.00,0.00,17.9,0,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches
25,Santiago Arias,co COL,DF,Bahia,32-125,1992,6.0,0,2,0,0.0,0.33,0.00,0.00,,13.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
26,Arthur,br BRA,FW,Cruzeiro,25-319,1998,3.8,1,3,2,66.7,0.79,0.52,0.33,0.50,18.2,0,0,0,0.1,0.1,0.03,+0.9,+0.9,Matches
27,Arthur,br BRA,"FW,MF",Criciúma,31-337,1992,1.0,0,1,1,100.0,1.00,1.00,0.00,0.00,29.3,1,0,0,0.0,0.0,0.05,0.0,0.0,Matches
28,Filipe Augusto,br BRA,MF,Cuiabá,30-279,1993,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
