Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_2,Att_2,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,Curr_Date
1,Abner,br BRA,MF,Juventude,20-029,2004,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,18-05-2024
2,Luiz Adriano,br BRA,FW,Vitória,37-036,1987,0.8,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,Matches,18-05-2024
3,Adson,br BRA,"FW,MF",Vasco da Gama,23-225,2000,1.2,6,6,1,2,3,1,5,20.0,4,2,0,2,1,7,1,0,Matches,18-05-2024
4,Lucas Alario,ar ARG,"FW,MF",Internacional,31-223,1992,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches,18-05-2024
5,Yuri Alberto,br BRA,FW,Corinthians,23-061,2001,2.4,2,1,0,1,1,0,2,0.0,2,0,0,0,1,3,1,0,Matches,18-05-2024
6,Alerrandro,br BRA,FW,Vitória,24-127,2000,3.1,3,2,1,2,0,1,6,16.7,5,4,1,3,3,6,6,0,Matches,18-05-2024
7,Caio Alexandre,br BRA,MF,Bahia,25-084,1999,4.9,17,5,8,8,1,8,18,44.4,10,3,0,3,1,18,2,0,Matches,18-05-2024
8,Matheus Alexandre,br BRA,DF,Cuiabá,25-041,1999,3.0,10,5,8,2,0,9,11,81.8,2,4,1,3,4,14,7,0,Matches,18-05-2024
9,Alexsander,br BRA,MF,Fluminense,20-223,2003,1.6,5,3,2,2,1,3,7,42.9,4,1,1,0,2,7,2,0,Matches,18-05-2024
10,Alisson,br BRA,GK,Criciúma,28-345,1995,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches,18-05-2024
11,Alisson,br BRA,"DF,MF",Atlético Mineiro,18-240,2005,1.4,4,2,2,2,0,1,1,100.0,0,1,0,1,0,4,1,0,Matches,18-05-2024
