Rk;Player;Nation;Pos;Squad;Age;Born;90s;SCA;SCA90;PassLive;PassDead;TO;Sh;Fld;Def;GCA;GCA90;GCA_PassLive;GCA_PassDead;GCA_TO;GCA_Sh;GCA_Fld;GCA_Def;Matches;Curr_Date
1;Abner;br BRA;MF;Juventude;20-029;2004;0.1;1;11.25;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
2;Luiz Adriano;br BRA;FW;Vitória;37-036;1987;0.8;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
3;Adson;br BRA;FW,MF;Vasco da Gama;23-225;2000;1.2;8;6.92;8;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
4;Lucas Alario;ar ARG;FW,MF;Internacional;31-223;1992;0.5;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
5;Yuri Alberto;br BRA;FW;Corinthians;23-061;2001;2.4;9;3.80;5;0;0;1;2;1;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
6;Alerrandro;br BRA;FW;Vitória;24-127;2000;3.1;5;1.63;4;0;0;0;0;1;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
7;Caio Alexandre;br BRA;MF;Bahia;25-084;1999;4.9;9;1.83;9;0;0;0;0;0;1;0.20;1;0;0;0;0;0;Matches;2024-05-18
8;Matheus Alexandre;br BRA;DF;Cuiabá;25-041;1999;3.0;4;1.33;1;2;1;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
9;Alexsander;br BRA;MF;Fluminense;20-223;2003;1.6;5;3.10;4;0;1;0;0;0;1;0.62;1;0;0;0;0;0;Matches;2024-05-18
10;Alisson;br BRA;GK;Criciúma;28-345;1995;2.0;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
11;Alisson;br BRA;DF,MF;Atlético Mineiro;18-240;2005;1.4;7;5.16;2;4;1;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
12;Alisson;br BRA;MF;São Paulo;30-328;1993;5.7;21;3.66;17;0;2;0;1;1;2;0.35;1;0;1;0;0;0;Matches;2024-05-18
13;Allan;br BRA;MF;Flamengo;27-076;1997;3.8;4;1.04;4;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
14;Anderson;br BRA;GK;Cruzeiro;26-074;1998;5.0;1;0.20;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
15;Kervin Andrade;ve VEN;MF;Fortaleza;19-035;2005;0.8;5;6.43;4;1;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
16;Rodrigo Andrade;br BRA;MF,FW;Vitória;26-349;1997;2.6;4;1.55;3;0;0;0;0;1;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
