Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,Curr_Date
1,Abner,br BRA,MF,Juventude,20-029,2004,0.1,8,0,1,7,0,0,8,0,0,,0,,6,22,7,0,0,0,0,0,7,0,Matches,2024-05-18
2,Luiz Adriano,br BRA,FW,Vitória,37-036,1987,0.8,20,1,1,13,6,3,20,0,0,,0,,8,26,11,0,0,0,0,1,15,4,Matches,2024-05-18
3,Adson,br BRA,"FW,MF",Vasco da Gama,23-225,2000,1.2,100,1,10,41,51,6,100,3,3,100.0,0,0.0,50,306,152,5,2,2,6,0,66,16,Matches,2024-05-18
4,Lucas Alario,ar ARG,"FW,MF",Internacional,31-223,1992,0.5,11,2,2,6,3,2,11,0,0,,0,,4,23,7,0,0,0,0,1,8,1,Matches,2024-05-18
5,Yuri Alberto,br BRA,FW,Corinthians,23-061,2001,2.4,68,1,3,26,40,15,68,1,0,0.0,1,100.0,43,156,36,3,1,3,12,2,47,17,Matches,2024-05-18
6,Alerrandro,br BRA,FW,Vitória,24-127,2000,3.1,88,6,12,56,21,6,88,3,1,33.3,2,66.7,42,184,77,3,1,0,4,2,50,12,Matches,2024-05-18
7,Caio Alexandre,br BRA,MF,Bahia,25-084,1999,4.9,364,5,73,241,51,0,364,2,1,50.0,1,50.0,228,963,534,3,3,0,6,6,285,2,Matches,2024-05-18
8,Matheus Alexandre,br BRA,DF,Cuiabá,25-041,1999,3.0,152,7,73,57,22,3,152,3,2,66.7,1,33.3,65,271,118,1,1,1,1,2,81,10,Matches,2024-05-18
9,Alexsander,br BRA,MF,Fluminense,20-223,2003,1.6,120,9,30,68,24,2,120,5,3,60.0,1,20.0,51,337,234,7,0,1,4,4,81,3,Matches,2024-05-18
10,Alisson,br BRA,GK,Criciúma,28-345,1995,2.0,61,56,61,0,0,0,61,0,0,,0,,29,102,81,0,0,0,0,0,16,0,Matches,2024-05-18
11,Alisson,br BRA,"DF,MF",Atlético Mineiro,18-240,2005,1.4,81,1,8,29,44,6,81,8,1,12.5,5,62.5,54,332,142,4,4,2,2,3,59,15,Matches,2024-05-18
12,Alisson,br BRA,MF,São Paulo,30-328,1993,5.7,450,15,75,294,83,2,450,8,6,75.0,1,12.5,290,1265,660,5,11,0,3,4,356,10,Matches,2024-05-18
13,Allan,br BRA,MF,Flamengo,27-076,1997,3.8,219,10,47,138,34,1,219,4,1,25.0,2,50.0,126,631,228,2,6,0,3,1,151,5,Matches,2024-05-18
14,Anderson,br BRA,GK,Cruzeiro,26-074,1998,5.0,126,100,126,0,0,0,126,0,0,,0,,76,321,226,0,0,0,0,0,53,0,Matches,2024-05-18
15,Kervin Andrade,ve VEN,MF,Fortaleza,19-035,2005,0.8,36,0,3,15,19,2,36,2,0,0.0,1,50.0,20,79,12,0,0,0,4,2,21,6,Matches,2024-05-18
16,Rodrigo Andrade,br BRA,"MF,FW",Vitória,26-349,1997,2.6,125,3,24,82,21,3,125,3,1,33.3,2,66.7,80,490,249,3,3,1,5,6,92,8,Matches,2024-05-18
17,André,br BRA,"MF,DF",Fluminense,22-307,2001,3.0,269,34,87,156,28,0,269,11,5,45.5,4,36.4,142,622,372,1,1,0,6,3,207,6,Matches,2024-05-18
18,Wilker Ángel,ve VEN,DF,Criciúma,31-061,1993,0.8,35,17,26,9,0,0,35,0,0,,0,,13,38,12,0,0,0,0,0,16,0,Matches,2024-05-18
19,Guilherme Arana,br BRA,DF,Atlético Mineiro,27-034,1997,4.1,365,6,100,145,121,11,365,11,3,27.3,8,72.7,217,880,510,10,6,2,4,0,264,34,Matches,2024-05-18
20,Luiz Araújo,br BRA,"FW,MF",Flamengo,27-351,1996,4.0,166,4,22,71,78,14,166,10,6,60.0,4,40.0,91,577,281,12,8,6,11,3,109,33,Matches,2024-05-18
21,Michel Araujo,uy URU,"DF,MF",São Paulo,27-233,1996,2.7,189,2,30,83,80,10,189,14,9,64.3,4,28.6,116,602,301,10,11,2,6,2,125,19,Matches,2024-05-18
22,Robert Arboleda,ec ECU,DF,São Paulo,32-209,1991,6.0,488,51,242,240,9,6,488,0,0,,0,,295,1120,634,1,3,0,1,0,356,0,Matches,2024-05-18
23,Lucas Arcanjo,br BRA,GK,Vitória,25-284,1998,5.0,138,120,138,0,0,0,138,0,0,,0,,64,448,318,0,0,0,0,0,44,0,Matches,2024-05-18
24,Jhon Arias,co COL,FW,Fluminense,26-240,1997,6.0,346,7,63,149,142,17,346,31,10,32.3,17,54.8,212,1359,684,20,19,3,7,12,271,42,Matches,2024-05-18
25,Santiago Arias,co COL,DF,Bahia,32-126,1992,6.0,369,13,108,172,91,6,369,5,1,20.0,3,60.0,179,773,424,12,5,0,2,3,209,38,Matches,2024-05-18
26,Arthur,br BRA,FW,Cruzeiro,25-320,1998,3.8,131,1,11,32,90,10,131,9,3,33.3,4,44.4,100,547,238,10,2,4,5,8,112,30,Matches,2024-05-18
27,Arthur,br BRA,"FW,MF",Criciúma,31-338,1992,1.0,35,0,3,21,11,1,35,3,1,33.3,2,66.7,21,57,26,0,1,0,5,2,24,2,Matches,2024-05-18
28,Filipe Augusto,br BRA,MF,Cuiabá,30-280,1993,0.2,11,0,2,9,2,0,11,1,1,100.0,0,0.0,4,28,23,1,1,0,1,0,9,1,Matches,2024-05-18
29,Renato Augusto,br BRA,"FW,MF",Fluminense,36-100,1988,0.7,39,1,3,16,20,1,39,0,0,,0,,20,89,31,0,0,0,2,0,29,2,Matches,2024-05-18
30,Gabriel Baralhas,br BRA,MF,Atl Goianiense,25-221,1998,3.6,169,12,34,103,35,3,169,3,1,33.3,2,66.7,79,277,120,2,2,1,5,5,95,7,Matches,2024-05-18
31,Danilo Barbosa,br BRA,MF,Botafogo (RJ),28-080,1996,3.5,215,18,65,125,25,5,215,2,2,100.0,0,0.0,116,472,233,4,2,1,7,6,149,3,Matches,2024-05-18
32,Diogo Barbosa,br BRA,DF,Fluminense,31-275,1992,1.7,84,2,25,44,16,0,84,5,4,80.0,1,20.0,37,285,127,2,2,0,1,1,58,5,Matches,2024-05-18
33,Gabriel Barbosa,br BRA,FW,Flamengo,27-262,1996,0.5,7,0,1,4,2,1,7,0,0,,0,,5,19,6,0,0,0,2,0,6,2,Matches,2024-05-18
34,Lucas Barbosa,br BRA,"MF,FW",Juventude,23-086,2001,3.3,178,3,21,82,75,10,178,9,3,33.3,5,55.6,87,563,193,6,5,0,6,3,122,21,Matches,2024-05-18
35,Alexander Barboza,ar ARG,"DF,FW",Botafogo (RJ),29-063,1995,1.4,97,13,40,53,5,2,97,0,0,,0,,58,231,111,1,0,0,1,0,62,2,Matches,2024-05-18
36,Mateo Barcia,uy URU,MF,Criciúma,23-089,2001,0.1,5,1,4,0,1,0,5,1,1,100.0,0,0.0,1,3,0,0,0,0,2,0,0,0,Matches,2024-05-18
