Rk;Player;Nation;Pos;Squad;Age;Born;MP;Min;Mn/MP;Min%;90s;Starts;Mn/Start;Compl;Subs;Mn/Sub;unSub;PPM;onG;onGA;+/-;+/-90;On-Off;onxG;onxGA;xG+/-;xG+/-90;On-Off_2;Matches;Curr_Date
1;Abner;br BRA;MF;Juventude;20-030;2004;1;8;8;2.2;0.1;0;;0;1;8;2;0.00;1;0;+1;+11.25;+12.02;0.2;0.0;+0.2;+2.01;+2.62;Matches;2024-05-18
2;Luiz Adriano;br BRA;FW;Vitória;37-037;1987;4;76;19;16.9;0.8;0;;0;4;19;0;0.25;1;1;0;0.00;+1.44;1.3;1.9;-0.6;-0.75;+0.03;Matches;2024-05-18
3;Adriel;br BRA;GK;Bahia;23-126;2001;0;;;;;0;;0;0;;2;;;;;;;;;;;;Matches;2024-05-18
4;Adson;br BRA;FW,MF;Vasco da Gama;23-226;2000;5;104;21;19.3;1.2;0;;0;5;21;1;1.20;2;3;-1;-0.87;-0.04;2.2;2.5;-0.3;-0.22;-0.10;Matches;2024-05-18
5;Lucas Alario;ar ARG;FW,MF;Internacional;31-224;1992;2;42;21;11.7;0.5;0;;0;2;21;1;2.00;1;0;+1;+2.14;+2.14;0.9;0.2;+0.7;+1.55;+0.85;Matches;2024-05-18
6;Yuri Alberto;br BRA;FW;Corinthians;23-062;2001;4;213;53;39.4;2.4;2;73;1;2;34;0;0.25;0;2;-2;-0.85;-0.85;2.7;1.5;+1.2;+0.52;+0.37;Matches;2024-05-18
7;Alerrandro;br BRA;FW;Vitória;24-128;2000;4;276;69;61.3;3.1;4;69;0;0;;1;0.25;3;7;-4;-1.30;-0.27;3.2;4.7;-1.6;-0.51;+0.67;Matches;2024-05-18
8;Caio Alexandre;br BRA;MF;Bahia;25-085;1999;6;442;74;81.9;4.9;6;74;0;0;;0;2.17;7;4;+3;+0.61;+0.61;7.1;4.0;+3.2;+0.64;+0.23;Matches;2024-05-18
9;Matheus Alexandre;br BRA;DF;Cuiabá;25-042;1999;3;270;90;75.0;3.0;3;90;3;0;;1;0.00;0;6;-6;-2.00;+2.00;2.0;4.6;-2.6;-0.86;+0.78;Matches;2024-05-18
10;Alexsander;br BRA;MF;Fluminense;20-224;2003;3;145;48;26.9;1.6;1;90;1;2;28;2;0.33;2;4;-2;-1.24;-0.79;1.4;2.6;-1.2;-0.77;-0.55;Matches;2024-05-18
11;Alisson;br BRA;GK;Criciúma;28-346;1995;2;180;90;66.7;2.0;2;90;2;0;;1;1.00;2;2;0;0.00;-4.00;1.0;1.6;-0.6;-0.28;+0.18;Matches;2024-05-18
12;Alisson;br BRA;DF,MF;Atlético Mineiro;18-241;2005;4;122;31;27.1;1.4;1;90;1;3;11;1;2.00;3;1;+2;+1.48;+0.38;2.8;0.8;+2.0;+1.47;+1.43;Matches;2024-05-18
13;Alisson;br BRA;MF;São Paulo;30-329;1993;6;516;86;95.6;5.7;6;86;4;0;;0;1.67;9;5;+4;+0.70;+0.70;8.1;3.4;+4.7;+0.83;+0.45;Matches;2024-05-18
14;Allan;br BRA;MF;Flamengo;27-077;1997;5;346;69;64.1;3.8;4;75;1;1;45;1;1.60;4;4;0;0.00;-0.93;4.4;3.7;+0.7;+0.19;+0.02;Matches;2024-05-18
15;Felipe Alves Raymundo;br BRA;GK;Fluminense;35-364;1988;0;;;;;0;;0;0;;6;;;;;;;;;;;;Matches;2024-05-18
16;Anderson;br BRA;GK;Cruzeiro;26-075;1998;5;450;90;100.0;5.0;5;90;5;0;;0;2.00;8;7;+1;+0.20;;5.0;5.5;-0.5;-0.10;;Matches;2024-05-18
17;Kervin Andrade;ve VEN;MF;Fortaleza;19-036;2005;1;70;70;15.6;0.8;1;70;0;0;;4;1.00;1;1;0;0.00;-0.24;0.9;0.4;+0.5;+0.68;+0.78;Matches;2024-05-18
18;Rodrigo Andrade;br BRA;MF,FW;Vitória;26-350;1997;3;233;78;51.8;2.6;3;78;1;0;;0;0.33;3;5;-2;-0.77;+0.89;4.5;4.3;+0.2;+0.06;+1.72;Matches;2024-05-18
19;André;br BRA;MF,DF;Fluminense;22-308;2001;3;270;90;50.0;3.0;3;90;3;0;;0;1.33;5;5;0;0.00;+1.33;3.4;4.1;-0.7;-0.23;+0.27;Matches;2024-05-18
20;Marcos André;br BRA;DF;Ath Paranaense;17-331;2006;0;;;;;0;;0;0;;3;;;;;;;;;;;;Matches;2024-05-18
21;Wilker Ángel;ve VEN;DF;Criciúma;31-062;1993;2;69;35;25.6;0.8;1;66;0;1;3;0;2.00;3;0;+3;+3.91;+3.47;0.6;1.6;-1.1;-1.39;-1.41;Matches;2024-05-18
22;Anthoni;br BRA;GK;Internacional;22-117;2002;0;;;;;0;;0;0;;1;;;;;;;;;;;;Matches;2024-05-18
23;Léo Aragão;br BRA;GK;Cruzeiro;22-030;2002;0;;;;;0;;0;0;;4;;;;;;;;;;;;Matches;2024-05-18
24;Guilherme Arana;br BRA;DF;Atlético Mineiro;27-035;1997;5;372;74;82.7;4.1;3;90;3;2;51;0;1.80;7;3;+4;+0.97;-1.34;4.4;3.7;+0.8;+0.18;-1.42;Matches;2024-05-18
