Rk;Player;Nation;Pos;Squad;Age;Born;90s;Gls;Sh;SoT;SoT%;Sh/90;SoT/90;G/Sh;G/SoT;Dist;FK;PK;PKatt;xG;npxG;npxG/Sh;G-xG;np:G-xG;Matches;Curr_Date
1;Abner;br BRA;MF;Juventude;20-029;2004;0.1;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
2;Luiz Adriano;br BRA;FW;Vitória;37-036;1987;0.8;0;2;1;50.0;2.37;1.18;0.00;0.00;10.9;0;0;0;0.1;0.1;0.06;-0.1;-0.1;Matches;2024-05-18
3;Adson;br BRA;FW,MF;Vasco da Gama;23-225;2000;1.2;0;4;3;75.0;3.46;2.60;0.00;0.00;20.6;0;0;0;0.2;0.2;0.05;-0.2;-0.2;Matches;2024-05-18
4;Lucas Alario;ar ARG;FW,MF;Internacional;31-223;1992;0.5;0;1;0;0.0;2.14;0.00;0.00;;7.0;0;0;0;0.1;0.1;0.08;-0.1;-0.1;Matches;2024-05-18
5;Yuri Alberto;br BRA;FW;Corinthians;23-061;2001;2.4;0;10;2;20.0;4.23;0.85;0.00;0.00;15.9;0;0;0;0.8;0.8;0.08;-0.8;-0.8;Matches;2024-05-18
6;Alerrandro;br BRA;FW;Vitória;24-127;2000;3.1;0;6;3;50.0;1.96;0.98;0.00;0.00;25.6;0;0;0;0.5;0.5;0.09;-0.5;-0.5;Matches;2024-05-18
7;Caio Alexandre;br BRA;MF;Bahia;25-084;1999;4.9;1;5;2;40.0;1.02;0.41;0.20;0.50;27.2;0;0;0;0.1;0.1;0.03;+0.9;+0.9;Matches;2024-05-18
8;Matheus Alexandre;br BRA;DF;Cuiabá;25-041;1999;3.0;0;1;0;0.0;0.33;0.00;0.00;;14.3;0;0;0;0.1;0.1;0.12;-0.1;-0.1;Matches;2024-05-18
9;Alexsander;br BRA;MF;Fluminense;20-223;2003;1.6;0;2;0;0.0;1.24;0.00;0.00;;16.9;0;0;0;0.1;0.1;0.05;-0.1;-0.1;Matches;2024-05-18
10;Alisson;br BRA;GK;Criciúma;28-345;1995;2.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
11;Alisson;br BRA;DF,MF;Atlético Mineiro;18-240;2005;1.4;0;4;1;25.0;2.95;0.74;0.00;0.00;20.6;0;0;0;0.2;0.2;0.06;-0.2;-0.2;Matches;2024-05-18
12;Alisson;br BRA;MF;São Paulo;30-328;1993;5.7;0;5;3;60.0;0.87;0.52;0.00;0.00;24.9;0;0;0;0.2;0.2;0.05;-0.2;-0.2;Matches;2024-05-18
13;Allan;br BRA;MF;Flamengo;27-076;1997;3.8;0;2;2;100.0;0.52;0.52;0.00;0.00;33.4;0;0;0;0.0;0.0;0.02;0.0;0.0;Matches;2024-05-18
